,Endpoint,Methods,Description
0,/api/v2/agency/<TOPTIER_AGENCY_CODE>/,GET,Returns agency overview information for USAspending.gov's Agency Details page for agencies that have ever awarded
1,/api/v2/agency/<TOPTIER_AGENCY_CODE>/awards/,GET,"Returns agency summary information, specifically the number of transactions and award obligations for the sub agency section of USAspending.gov's Agency Details page"
2,/api/v2/agency/<TOPTIER_AGENCY_CODE>/awards/new/count/,GET,Returns a count of New Awards for the agency in a single fiscal year
3,/api/v2/agency/awards/count/,GET,Returns a count of Awards types for agencies in a single fiscal year
4,/api/v2/agency/<TOPTIER_AGENCY_CODE>/budget_function/,GET,Returns a list of Budget Functions and Budget Subfunctions for the agency in a single fiscal year
5,/api/v2/agency/<TOPTIER_AGENCY_CODE>/budget_function/count/,GET,Returns the count of Budget Functions for the agency in a single fiscal year
6,/api/v2/agency/<TOPTIER_AGENCY_CODE>/budgetary_resources/,GET,Returns budgetary resources and obligations for the agency and fiscal year requested
7,/api/v2/agency/<TOPTIER_AGENCY_CODE>/federal_account/,GET,Returns a list of Federal Accounts and Treasury Accounts for the agency in a single fiscal year
8,/api/v2/agency/<TOPTIER_AGENCY_CODE>/federal_account/count/,GET,Returns the count of Federal Accounts and Treasury Accounts for the agency in a single fiscal year
9,/api/v2/agency/<TOPTIER_AGENCY_CODE>/object_class/,GET,Returns a list of Object Classes for the agency in a single fiscal year
10,/api/v2/agency/<TOPTIER_AGENCY_CODE>/object_class/count/,GET,Returns the count of Object Classes for the agency in a single fiscal year
11,/api/v2/agency/<TOPTIER_AGENCY_CODE>/obligations_by_award_category/,GET,Returns a breakdown of obligations by award category within a single fiscal year
12,/api/v2/agency/<TOPTIER_AGENCY_CODE>/program_activity/,GET,Returns a list of Program Activity categories for the agency in a single fiscal year
13,/api/v2/agency/<TOPTIER_AGENCY_CODE>/program_activity/count/,GET,Returns the count of Program Activity categories for the agency in a single fiscal year
14,/api/v2/agency/<TOPTIER_AGENCY_CODE>/sub_agency/,GET,"Returns a list of sub-agencies and offices with obligated amounts, transaction counts and new award counts for the agency in a single fiscal year"
15,/api/v2/agency/<TOPTIER_AGENCY_CODE>/sub_agency/count/,GET,Returns the number of sub-agencies and offices for the agency in a single fiscal year
16,/api/v2/agency/<TOPTIER_AGENCY_CODE>/sub_components/<BUREAU_SLUG>/,GET,Returns a list of federal_accounts by bureau for the agency in a single fiscal year
17,/api/v2/agency/<TOPTIER_AGENCY_CODE>/sub_components/,GET,Returns a list of bureaus for the agency in a single fiscal year
18,/api/v2/agency/treasury_account/<TREASURY_ACCOUNT_SYMBOL>/object_class/,GET,Returns a list of Object Classes for the specified Treasury Account Symbol (tas).
19,/api/v2/agency/treasury_account/<TREASURY_ACCOUNT_SYMBOL>/program_activity/,GET,Returns a list of Program Activities for the specified Treasury Account Symbol (tas).
20,/api/v2/autocomplete/accounts/a/,POST,Returns Treasury Account Symbol Availability Type Code (A) filtered by other components provided in the request filter
21,/api/v2/autocomplete/accounts/aid/,POST,Returns Treasury Account Symbol/Federal Account Agency Identifier (AID) filtered by other components provided in the request filter
22,/api/v2/autocomplete/accounts/ata/,POST,Returns Treasury Account Symbol Allocation Transfer Agency Identifier (ATA) filtered by other components provided in the request filter
23,/api/v2/autocomplete/accounts/bpoa/,POST,Returns Treasury Account Symbol Beginning Period of Availability (BPOA) filtered by other components provided in the request filter
24,/api/v2/autocomplete/accounts/epoa/,POST,Returns Treasury Account Symbol Ending Period of Availability (EPOA) filtered by other components provided in the request filter
25,/api/v2/autocomplete/accounts/main/,POST,Returns Treasury Account Symbol/Federal Account Main Account Code (MAIN) filtered by other components provided in the request filter
26,/api/v2/autocomplete/accounts/sub/,POST,Returns Treasury Account Symbol Sub-Account Code (SUB) filtered by other components provided in the request filter
27,/api/v2/autocomplete/awarding_agency/,POST,Returns awarding agencies matching the specified search text
28,/api/v2/autocomplete/cfda/,POST,Returns CFDA programs matching the specified search text
29,/api/v2/autocomplete/city/,POST,"Returns city names matching the search text, sorted by relevance"
30,/api/v2/autocomplete/funding_agency/,POST,Returns funding agencies matching the specified search text
31,/api/v2/autocomplete/glossary/,POST,Returns glossary terms matching provided search text
32,/api/v2/autocomplete/naics/,POST,Returns NAICS objects matching the specified search text
33,/api/v2/autocomplete/psc/,POST,Returns product or service (PSC) codes and their descriptions based on a search string. This may be the 4-character PSC code or a description string.
34,/api/v2/award_spending/recipient/,GET,Returns all award spending by recipient for a given fiscal year and agency id
35,/api/v2/awards/<AWARD_ID>/,GET,Returns details about specific award
36,/api/v2/awards/accounts/,POST,Returns a list of federal accounts for the indicated award
37,/api/v2/awards/count/federal_account/<AWARD_ID>/,GET,Returns the number of federal accounts associated with the award
38,/api/v2/awards/count/subaward/<AWARD_ID>/,GET,Returns the number of subawards associated with the award
39,/api/v2/awards/count/subaward/<AWARD_ID>/,GET,Returns the number of subawards associated with the award
40,/api/v2/awards/count/transaction/<AWARD_ID>/,GET,Returns the number of transactions associated with the award
41,/api/v2/awards/funding,POST,"Returns federal account, awarding agencies, funding agencies, and transaction obligated amount information for a requested award"
42,/api/v2/awards/funding_rollup,POST,"Returns aggregated count of awarding agencies, federal accounts, and total transaction obligated amount for an award"
43,/api/v2/awards/last_updated/,GET,Returns date of last update
44,/api/v2/budget_functions/list_budget_functions/,GET,"Returns all Budget Functions associated with a TAS, ordered by Budget Function code"
45,/api/v2/budget_functions/list_budget_subfunctions/,POST,"Returns all Budget Functions associated with a TAS, ordered by Budget Function code"
46,/api/v2/bulk_download/awards/,POST,Generates zip file for download of award data in CSV format
47,/api/v2/bulk_download/list_agencies/,POST,Lists all the agencies and the subagencies or federal accounts associated under specific agencies
48,/api/v2/bulk_download/list_monthly_files/,POST,Lists the monthly files associated with the requested params
49,/api/v2/bulk_download/status/,GET,Returns the current status of a download job that that has been requested with thev2/bulk_download/awards/orv2/bulk_download/transaction/endpoint that same day.
50,/api/v2/disaster/agency/count/,POST,Returns the count of Agencies which received disaster/emergency funding
51,/api/v2/disaster/agency/loans/,POST,Returns insights on the Agencies awarding loans from disaster/emergency funding
52,/api/v2/disaster/agency/spending/,POST,Returns insights on the Agencies which received disaster/emergency funding
53,/api/v2/disaster/award/amount/,POST,Returns account data obligation and outlay spending aggregations of all (File D) Awards which received disaster/emergency funding
54,/api/v2/disaster/award/count/,POST,Returns the count of account data obligation and outlay spending aggregations of all (File D) Awards which received disaster/emergency funding
55,/api/v2/disaster/cfda/count/,POST,Dimension Count of Disaster/Emergency funding data
56,/api/v2/disaster/cfda/loans/,POST,Records of loan Disaster/Emergency funding data by dimension
57,/api/v2/disaster/cfda/spending/,POST,Records of spending Disaster/Emergency funding data by dimension
58,/api/v2/disaster/def_code/count/,POST,Dimension Count of Disaster/Emergency funding data
